postal_code,locality,municipality_code,municipality_name,county_code,county_name
62466,Fårö,,,05,"Gotlands län"
62467,Fårö,,,05,"Gotlands län"
74950,Ekolsund,,,21,"Uppsala län"
73494,Strömsholm,,,25,"Västmanlands län"
13220,Saltsjö-boo,,,26,"Stockholms län"
19040,Stockholm-Arlanda,,,26,"Stockholms län"
19045,Stockholm-Arlanda,,,26,"Stockholms län"
19046,Stockholm-Arlanda,,,26,"Stockholms län"
19047,Stockholm-Arlanda,,,26,"Stockholms län"
19050,Stockholm-Arlanda,,,26,"Stockholms län"
19060,Stockholm-Arlanda,,,26,"Stockholms län"
19090,Stockholm-Arlanda,,,26,"Stockholms län"
19587,Stockholm,,,26,"Stockholms län"
21845,Vintrie,,,27,"Skåne län"
23040,Bara,,,27,"Skåne län"
23041,Klågerup,,,27,"Skåne län"
23053,Alnarp,,,27,"Skåne län"
23302,Bara,,,27,"Skåne län"
23361,Bara,,,27,"Skåne län"
23362,Bara,,,27,"Skåne län"
23363,Bara,,,27,"Skåne län"
23364,Bara,,,27,"Skåne län"
23365,Bara,,,27,"Skåne län"
23375,Klagerup,,,27,"Skåne län"
23376,Klågerup,,,27,"Skåne län"
23456,Alnarp,,,27,"Skåne län"
26172,Häljarp,,,27,"Skåne län"
26173,Häljarp,,,27,"Skåne län"
26620,Munka-ljungby,,,27,"Skåne län"
42720,Billdal,,,28,"Västra Götalands län"
42724,Billdal,,,28,"Västra Götalands län"
18600,Vallentuna,,,,"Stockholms län"
18601,Vallentuna,,,,"Stockholms län"
18603,Brottby,,,,"Stockholms län"
18621,Vallentuna,,,,"Stockholms län"
18622,Vallentuna,,,,"Stockholms län"
18623,Vallentuna,,,,"Stockholms län"
18624,Vallentuna,,,,"Stockholms län"
18625,Vallentuna,,,,"Stockholms län"
18626,Vallentuna,,,,"Stockholms län"
18630,Vallentuna,,,,"Stockholms län"
18631,Vallentuna,,,,"Stockholms län"
18632,Vallentuna,,,,"Stockholms län"
18633,Vallentuna,,,,"Stockholms län"
18634,Vallentuna,,,,"Stockholms län"
18635,Vallentuna,,,,"Stockholms län"
18636,Vallentuna,,,,"Stockholms län"
18637,Vallentuna,,,,"Stockholms län"
18638,Vallentuna,,,,"Stockholms län"
18639,Vallentuna,,,,"Stockholms län"
18640,Vallentuna,,,,"Stockholms län"
18641,Vallentuna,,,,"Stockholms län"
18642,Vallentuna,,,,"Stockholms län"
18643,Vallentuna,,,,"Stockholms län"
18644,Vallentuna,,,,"Stockholms län"
18645,Vallentuna,,,,"Stockholms län"
18646,Vallentuna,,,,"Stockholms län"
18648,Vallentuna,,,,"Stockholms län"
18649,Vallentuna,,,,"Stockholms län"
18650,Vallentuna,,,,"Stockholms län"
18651,Vallentuna,,,,"Stockholms län"
18652,Vallentuna,,,,"Stockholms län"
18653,Vallentuna,,,,"Stockholms län"
18654,Vallentuna,,,,"Stockholms län"
18655,Vallentuna,,,,"Stockholms län"
18660,Vallentuna,,,,"Stockholms län"
18670,Brottby,,,,"Stockholms län"
18686,Vallentuna,,,,"Stockholms län"
18691,Vallentuna,,,,"Stockholms län"
18692,Vallentuna,,,,"Stockholms län"
18693,Vallentuna,,,,"Stockholms län"
18694,Vallentuna,,,,"Stockholms län"
18695,Vallentuna,,,,"Stockholms län"
