postal_code,locality,municipality_code,municipality_name,county_code,county_name
11122,Stockholm,0180,Stockholm,01,Stockholms län
21115,Malmö,1280,Malmö,12,Skåne län
41101,Göteborg,1480,Göteborg,14,Västra Götalands län
70135,Örebro,1880,Örebro,18,Örebro län
75309,Uppsala,0380,Uppsala,03,Uppsala län
85121,Sundsvall,2281,Sundsvall,22,Västernorrlands län
87130,Härnösand,2280,Härnösand,22,Västernorrlands län
87140,Härnösand,2280,Härnösand,22,Västernorrlands län
87145,Härnösand,2280,Härnösand,22,Västernorrlands län
87230,Kramfors,2282,Kramfors,22,Västernorrlands län
88130,Sollefteå,2283,Sollefteå,22,Västernorrlands län
89133,Örnsköldsvik,2284,Örnsköldsvik,22,Västernorrlands län
90325,Umeå,2480,Umeå,24,Västerbottens län
97231,Luleå,2580,Luleå,25,Norrbottens län
80251,Gävle,2180,Gävle,21,Gävleborgs län
65108,Karlstad,1780,Karlstad,17,Värmlands län
55246,Jönköping,0680,Jönköping,06,Jönköpings län
58102,Linköping,0580,Linköping,05,Östergötlands län
75124,Uppsala,0380,Uppsala,03,Uppsala län
30241,Halmstad,1380,Halmstad,13,Hallands län
